ticket_id,subject,body,category
95,Meeting room,How can I book a meeting room for a team discussion?,General
55,Installation error,The software installation stops with an error.,Technical
51,Two factor authentication,I am not receiving the two factor authentication code.,Technical
81,Overtime policy,Please explain the company overtime policy.,HR
47,Mobile app issue,The mobile application closes unexpectedly.,Technical
82,Maternity leave,I would like information about the maternity leave policy.,HR
62,Leave balance,Please tell me how many paid leaves I have remaining.,HR
117,General guidelines,Where can I find the general office guidelines?,General
80,Payslip correction,There is an error in my payslip and I need help correcting it.,HR
94,Contact information,Can you provide the contact details for the main office?,General
42,Network issue,My computer cannot connect to the office network.,Technical
59,Access error,I get an error when trying to access the technical portal.,Technical
49,File download issue,I cannot download reports from the portal.,Technical
102,Parking information,Please provide information about employee parking.,General
58,Performance issue,The system response time is very slow.,Technical
76,Training program,Please provide details about upcoming employee training.,HR
33,Website not loading,The website is not loading properly.,Technical
113,Company portal,Where can I find the company information portal?,General
60,Feature not working,The search feature is not working as expected.,Technical
64,Attendance issue,My attendance for yesterday is showing incorrectly.,HR
106,Communication update,Where can I find the latest internal communication updates?,General
38,Software installation,I need help installing the required software.,Technical
30,Charge dispute,I would like to dispute a charge on my account.,Billing
116,Team activity,Are there any upcoming team activities?,General
2,Charged twice,The same amount was deducted from my account two times.,Billing
53,Broken link,The documentation link on the portal returns an error.,Technical
22,Subscription billing,I want to understand my recurring subscription charge.,Billing
3,Refund not received,My refund was approved but I have not received the money yet.,Billing
24,Billing address,I need to update the billing address on my account.,Billing
104,Meeting schedule,Please share the schedule for the upcoming team meeting.,General
100,Event registration,How can I register for the upcoming company event?,General
88,Salary increment,When will the annual salary increment be announced?,HR
109,Event details,Can you provide the date and location of the next event?,General
75,Promotion process,Can you explain the employee promotion process?,HR
87,Attendance correction,Please correct my attendance record for last week.,HR
83,Recruitment status,Can you provide an update on my recruitment process?,HR
120,Information request,Could you provide more information about the company services?,General
21,Payment pending,My payment has been pending for several hours.,Billing
61,Leave request,I would like to apply for annual leave.,HR
72,Benefits information,Please provide information about employee benefits.,HR
107,Office access,What are the general procedures for entering the office?,General
15,Tax on invoice,Why has tax been added to my latest invoice?,Billing
93,Office timings,Please confirm the normal office working hours.,General
52,Connection timeout,The request keeps timing out when I access the service.,Technical
103,Cafeteria timings,What are the cafeteria operating hours?,General
